,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred
ChdDSUhNMG9nS0VJQ0FnSURVNTVIMnpRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURVeTZLc1ZBEAE,Exceptional..(till now XD) except size..,5.0,0.0,Neutral,2,3.5,4
ChdDSUhNMG9nS0VJQ0FnSURVMGJyNXZnRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNVNzh5MXpRRRAB,Very good infrastructure and faculty along with good canteen and mess facility but small and beautiful campus too.,4.0,0.8247,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNVOC1iblBREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNVcVlPM09BEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNVOXRPOGpRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURrdTVHNlF3EAE,very bad,5.0,-0.5849,Negative,1,3.0,3
ChdDSUhNMG9nS0VJQ0FnSURrd2VtcTlRRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURrbnM2bTdnRRAB,Good quiet atmosphere,5.0,0.4404,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURFaHU3Q3h3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNFOF9MMWRBEAE,This review is for upgraded.com which is in connection with IIIT Bangalore.worst materials and worst teachers. They are spoiling the name of IIIT Bangalore.,1.0,-0.6249,Negative,1,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUM0enRPSDVnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM0LU1fR3FRRRAB,,2.0,1.5,Positive,5,2.0,2
ChdDSUhNMG9nS0VJQ0FnSUM0eU9IbnlBRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURZeDhxbEtBEAE,Good.  I appreciate it,5.0,0.6808,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURZLTRUT0VnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURZaTYyOWlRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURZcmJxRVJREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURZM283dU5nEAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURZdE95S2hBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURZOE0zckhBEAE,Contemporary temple of knowledge and creation,5.0,0.2732,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNZaDRlMWJREAE,,3.0,1.5,Positive,5,3.0,3
ChZDSUhNMG9nS0VJQ0FnSUNZMDlPQ01REAE,Best institution presently on Bangalore for IT graduates,5.0,0.6369,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNZbU9iZEZREAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNZNktYYlJBEAE,It is a good place to complete your IIT courses to get highest wages to led your life better.,5.0,0.7003,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNZZ0x6a1BBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURvaGIyUHBBRRAB,Lovely Campus and Serene environment,5.0,0.7783,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNvMjdPVFJBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNvZ2RiaGZnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNvaHBLLTdBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURJcTdERXVRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURJbzV5WUR3EAE,Campus is good,5.0,0.4404,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURJZ1lIQUp3EAE,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUNBeWNuQjlBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURJanB5ZnhRRRAB,Nice and compact Infrastructure.,4.0,0.4215,Positive,3,3.5,4
ChdDSUhNMG9nS0VJQ0FnSURJcG9QZnF3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURJc3NmQnZnRRAB,Excellent research work,5.0,0.5719,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURJM09yWk5nEAE,Best Institute for Engineering,5.0,0.6369,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURJNlA3ekJBEAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURJd0wtd3JRRRAB,Best college Very nice,5.0,0.807,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUNJNzdQay1RRRAB,"This is the place to be if you are interested in policy planning and development of technology for an inclusive future. There are many courses you can take up here and the environment is good. Canteen food is really good and healthy if you're planning to stay in the hostels. They conduct winter schools, it's worth taking if you're interested in the topics",4.0,0.9366,Positive,4,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNJNjZ5MHJBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNJMDVUQjJBRRAB,Very nice facilities and great placement offers for both mtech and imtech,5.0,0.8016,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNJelAzY0hBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUR3cmJ1SnB3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUR3NEllRGFREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNndmY2T2ZBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURBbjduZHNRRRAB,Good college,5.0,0.4404,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURnMXU2dUdREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURnODczZjNBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURnOFlTejBRRRAB,Awsome location to be in and study. Infrastructure of this place is pretty good to. People comes here from all over india to participate and learn computer technology here.  The staff management and people are good to. Its surrounded by lush greenery everywhere. During rainy season its one of the best place to be in. Climate all around the 12 months are awsome too.  Overall a very good place to be in.,4.0,0.9441,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUN3N1ltZkhnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNRX2V6ZE5REAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNBc0pTeHJnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3cnZybFdBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURBLUttMHZRRRAB,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUNnNTZMaWpRRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURBbVlhLVpBEAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURRb2E2Zll3EAE,iii tb reecet butyfull photos,5.0,0.0,Neutral,2,3.5,4
ChdDSUhNMG9nS0VJQ0FnSUNBdVpuSTVBRRAB,"Super campus and the food provided over there is too cheap and the best quality. The International Institute of Information Technology, Bangalore commonly known as IIIT Bangalore and also IIITB is a graduate school situated in Bangalore, Karnataka, India.",4.0,0.8442,Positive,4,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUN3ejhXUXlnRRAB,"The campus is beautiful, with lots of greenery around. The faculty here is top notch with PhD from top universities of the world. The institute offers 6 research areas like data science, networking, computer science etc.  The curriculum is flexible and can be planned as per the interest of the student. Though there are few mandatory courses for initial years. College also has tie-ups with leading organisations that have set up their labs in the college. Also, college has helped in setting up Myanmar institute of information technology with the help of Ministry of foreign affairs. Also, in a recent MOU signed by Indian Prime Minister with Indonesia, a group from Indonesia will be soon enrolling in the college of fully sponsored studies. College professors has vast experience in their area of interest, with lots of research paper in top conferences across the world. One student from the college is also going to join Harvard University for pursuing his PhD. Also, college has a good coding culture with two time ACM icpc finalists. One of the students from imtech batch is joining Google brain in the US. The college provides overall growth, with good number of sports facilities, even though the campus is small. The hostels are also very well maintained, with 24 hour power back. The college administration is also very cooperative to student affairs, we have student activity council for handling student affairs. The college can be reached directly from the airport by shuttle service.",5.0,0.9854,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUNnb0xPUHdBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNBcGJ6bGhRRRAB,IIT Bangalore first number of education place in India,5.0,0.0772,Positive,2,3.5,4
ChZDSUhNMG9nS0VJQ0FnSURBOV96Y2JnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNnanF2Qm13RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURRLVBtdTlnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURROS1MZHNnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNRbUtDWFR3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURRNl92d0VREAE,This is one of the educational institutions - IIITS - that Bangalore can boast of. It s a premier institute delivering education and prepapring engineers of tomorrow. Located near Electronic City Phase 1- this institution is right in the midst of the companies like Infosys and Wipro surrounding it.,5.0,0.3612,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNBMnBPQVVREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNRMXJtQmVnEAE,Verry nice yar,5.0,0.4215,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNBN1lYNnV3RRAB,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURRcDRXNkRREAE,.........  ... ...,5.0,0.0,Neutral,2,3.5,4
ChZDSUhNMG9nS0VJQ0FnSURBc3RiSUtREAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURBdlBfZjV3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURRN0o3c3hRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURRa0pEVUVnEAE,Very nice,1.0,0.4754,Positive,3,2.0,2
ChZDSUhNMG9nS0VJQ0FnSUNBXzZ2cEN3EAE,Best Institute for masters,5.0,0.6369,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURRX3VYRFlREAE,Best,5.0,0.6369,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNRdU02OTVBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNnczVYZEl3EAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNROU1IbHJBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNndzlIZ0VREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNnMi02M0hREAE,"One of the best technical institutions in India. Good campus, calm and peaceful.",4.0,0.9118,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUN3Z2Vtb0tBEAE,Loveit,5.0,0.0,Neutral,2,3.5,4
ChdDSUhNMG9nS0VJQ0FnSUNnaElEdV9BRRAB,I wan to be study in your clg,5.0,0.0,Neutral,2,3.5,4
ChZDSUhNMG9nS0VJQ0FnSURBdHNxdE9BEAE,,2.0,1.5,Positive,5,2.0,2
ChdDSUhNMG9nS0VJQ0FnSUN3enVTa2lnRRAB,Super campus and the food provided over there is too cheap and the best quality.,4.0,0.8442,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNBLWJtaUJBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3MzhTT0xnEAE,It's an awesome place to learn,5.0,0.6249,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNnMnR1eWh3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3bHRXN1V3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURndnJuV2VREAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURRdWNxdkdBEAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUN3amZiemNnEAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURBenBENlNBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURnOE0yQkdBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURRaF9qOENBEAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUN3N283Z2pRRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNRa3JYd19RRRAB,Amazing campus like a paradise,5.0,0.8885,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURBN05Ick1BEAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURReW9lak1BEAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURnbk9UMWJnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURBcGVUTlR3EAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURRM2JmOXdnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURRcUpDRjlnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNnaktQZGh3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNBbzR2dU5BEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNRMXJtSkNnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURRZ2RySktBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURBN3R5bV9BRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNBbXZpdlZnEAE,Best institute and veg food.,2.0,0.6369,Positive,3,2.5,2
ChdDSUhNMG9nS0VJQ0FnSURnbDVXWWtBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNnejh2TDh3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNROGFfN013EAE,,3.0,1.5,Positive,5,3.0,3
ChdDSUhNMG9nS0VJQ0FnSUNBamRDVDdnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNnZzZQZmRREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3cThxRUNREAE,Place is awesome,5.0,0.6249,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNBejluRFBnEAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSUN3OEpqVWZ3EAE,Heaven..,5.0,0.5106,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURnbUlucHVnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNBMktQb2xRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURndTZPS0NBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURRNEstOTFBRRAB,,2.0,1.5,Positive,5,2.0,2
ChdDSUhNMG9nS0VJQ0FnSUNBNWN6aXF3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNBcXVHSUtREAE,awesome place if u are looking for higher packages,5.0,0.6249,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNROGZyd0NnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURnLUlIS21nRRAB,Awesome learning experience with experienced knowledgeable faculties,5.0,0.6249,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNnbnFXeUNBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNRbnNiakJREAE,Place is very beautiful and peaceful and ambiance is awesome here. No great sports facility available here. For academics specially for higher education it is the best college in the Bangalore. Situated right opposite to the Infosys campus. Professor's are very friendly & approachable.,4.0,0.9528,Positive,4,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURROExlN19RRRAB,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSUNnZ2FiNk5nEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3M2UzREpREAE,iiitb Banglor is very good univercity in india   ,5.0,0.4927,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNnMnF6Y3RBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNneTRqVFhnEAE,"IIIT Bangalore is really good institution for pursuing MS in IT and ESDM.  Good infrastructure and good labs, with all the equipments.  Place is very beautiful and peaceful and ambience is awesome here. ",5.0,0.9672,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURndk9LM1NnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNBMTZ2NUp3EAE,It was good  ,5.0,0.4404,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURBdUpmVmlBRRAB,Quality faculty members are available ,4.0,0.0,Neutral,2,3.0,3
ChdDSUhNMG9nS0VJQ0FnSUNnMXZfVDJnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNnc1ByVGJREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURnMS0ycFh3EAE,Very good,4.0,0.4927,Positive,3,3.5,4
ChdDSUhNMG9nS0VJQ0FnSUNBODQzbWlBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3MF9lYWJBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3c2NLaklBEAE,very costly. we paid 1st sem fee of Rs.180000/- in Aug'2016. Now 2nd sem fee is to be paid before 31st Dec'2016. Middle class people can not afford.,3.0,-0.1761,Negative,2,2.5,2
ChZDSUhNMG9nS0VJQ0FnSUNBeHNYNVdBEAE,,3.0,1.5,Positive,5,3.0,3
ChZDSUhNMG9nS0VJQ0FnSUNROU02QUh3EAE,,3.0,1.5,Positive,5,3.0,3
ChZDSUhNMG9nS0VJQ0FnSURBanA3aVpREAE,This is the best engineering colleges in India ,5.0,0.6369,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNBbDkzRUNREAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNnaTdDNUFnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNBN0ktWERBEAE,"Great place to know in-depth knowledge on the latest technologies (opportunities exists to even contribute towards developing new technologies). Excellent faculties.  Placements- above average to good (""it depends"")",5.0,0.9231,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNRbnBlZlp3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURRMnJPSUx3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNBdlBESUZBEAE,Great place to learn,5.0,0.6249,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNncTd6TFFBEAE,"One of the Best Residential Universities which has following courses: 1. M.Tech  2. Integrated M.Tech (iMTech) 3. MS 4. PhD  This is a small campus with great faculty. Students are very supportive and have self-starter attitude, with the motive of collaborating and growing. Being in Bangalore, IIITB has easy access to IT industry and students participate in Hackathons and events very frequently.",5.0,0.9371,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNBNW9iaUlREAE,Great working environment with friendly director Professor S. Sadagopan. Highest levels of academic and administrative performance and professionalism. Good and hard working students.,4.0,0.8689,Positive,4,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNnbFAyUHlRRRAB,Best clg,5.0,0.6369,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURRNWVpcGd3RRAB,"Great campus, good infra and faculty.  -PS: Have you read The Himalayan Tsunami?",4.0,0.7906,Positive,4,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNBdmFiODd3RRAB,good placement,5.0,0.4404,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNRaXNyOW13RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNBeTl2bWdBRRAB,One of the great Institute for higer research education,5.0,0.6249,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURnM0p5SkZnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNneGFtSVB3EAE,Best,5.0,0.6369,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURRb1lHRUZnEAE,,2.0,1.5,Positive,5,2.0,2
ChZDSUhNMG9nS0VJQ0FnSUNRcmFLLUFREAE,Gr8 infra n nt routine syllabus bt nurturing 2 industrial needs. Fee r high bt worth while.,3.0,0.8225,Positive,4,3.5,4
ChZDSUhNMG9nS0VJQ0FnSUNBbC02eVJBEAE,,3.0,1.5,Positive,5,3.0,3
ChZDSUhNMG9nS0VJQ0FnSURBdmV5UVNREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURRal9TNm9nRRAB,"This college provides great placement opportunity for MTech students. First  iMTech batch will pass out in 2017. Can't say about their placement stats. Infrastructure is great. Food is not at all good in mess. The campus area is very small. The approach of college is Placement oriented rather than Research. The college will make you feel like you are in a school. Entry for Mtech and iMtech students after 10 pm is restricted, if you want to enter they will ask you to write a letter to the Warden.  No non Veg Food except Boiled eggs in sunday morning breakfast (as of may 2016).",3.0,0.7264,Positive,4,3.5,4
ChZDSUhNMG9nS0VJQ0FnSURncjR2a09nEAE, ,5.0,0.0,Neutral,2,3.5,4
ChdDSUhNMG9nS0VJQ0FnSURncW9uVDlnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3OWNpSURBEAE,,5.0,1.5,Positive,5,5.0,5
