,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score,old_score
10,10,National-Institute-of-Technology-Karnataka-Surathkal-3,What are the things which differ NIT Surathkal from other NITs?,4,3,4/3,No,Followed,2020-07-29,https://www.quora.com/What-are-the-things-which-differ-NIT-Surathkal-from-other-NITs,"All NITs are good because if you study here it gives a tag of “NITian” that matters when you are in the crowd. I have visited three more NITs other than my college. Every NIT has its own pros and cons. so I won't compare anything, I will just write down some points which I want you to know about NITK. Some points may not be unique. Now coming to your question :- Things to know about NITK :- According to the NIRF ranking 2020, NITK has secured 13th rank among Engineering colleges and 2nd rank among NITs.Despite this Covid-19 pandemic, 90% of btech students are placed in the batch of 2020 and percContinue ReadingAll NITs are good because if you study here it gives a tag of “NITian” that matters when you are in the crowd. I have visited three more NITs other than my college. Every NIT has its own pros and cons. so I won't compare anything, I will just write down some points which I want you to know about NITK. Some points may not be unique. Now coming to your question :- Things to know about NITK :- According to the NIRF ranking 2020, NITK has secured 13th rank among Engineering colleges and 2nd rank among NITs.Despite this Covid-19 pandemic, 90% of btech students are placed in the batch of 2020 and percentage is still increasing. But in previous years, on campus placement used to be around 95%.Indian Space Research Organisation (ISRO) has set up a Regional Academic Centre for Space at National Institute of Technology Karnataka to carry out the advanced joint research and development activities in the area of space technology.Well known, NITK has its own private beach. It's just 10 minutes away by walk from your hostel and you can enjoy the beautiful evening by watching the mesmerising sunset. If you manage to get a girlfriend at NITK, you would visit beach every now and then otherwise you won't. And this beach is not at all suitable for taking bath. Many students have died by getting drowned every year. Just have fun at seashore but don't dare to go inside the water body.There are many core industries nearby NITK. If you fail to get a paid internship in any company, you can approach professors or any localite whose parents or relatives are working in any of these industries,they can easily get you an unpaid internship. You will get a certificate to mention in your resume. Mostly you will be benefited if you are from civil, electrical, metallurgy or chemical engineering department.There are many shops and canteens in our campus but the best part is you will get your items delivered at your hostel if you order your items through “ChangePay” app which is exclusively for NITK students. Though they are trying to expand their business in other colleges too.Every year on 26th of January on the occasion of Republic Day, DDFC one of the clubs of NITK, organises a one day fest called “BHARAT DARSHAN” where students of every states perform and describe their diverse and unique culture through drama, dance etc. There is always cut throat competition among the different states to win the title.We have virtual lab in our campus. For more info you can visit Virtual LabsWe have Centre for System design (CSD) at NITK. For more info you can visit Centre for System Design. If you are good at singing or dancing or acting, you can record your song or video. Some of my juniors have composed song and recorded their voice and videos.There are many tourist places which are very feasible to visit from our college. e.g- Kayaking, Coorg, Goa, Manipal, Malpe beach, kudremukh, Chikmagalur, mysore, Bangalore, ooty, jog falls etc. You will easily get two wheeler or four wheeler on rent. Your rented vehicle (s) would be just a call away at reasonable price. In fact if you are a travelling freak, you can plan your places to visit year wise. There are so many places to visit nearby if you are in NITK.Our college has Mining Department which is unique in itself as very less IITs and NITs possess it. We have MCA and MBA programs available too with good placement statistics.Less important points:- a. We have swimming pool in our campus. Boys and girls can’t swim together because there are different timings for boys and girls. So don't be over excited. b. You can see beautiful peacocks in our campus. Not often but spotting snakes at different places at NITK would become very normal thing to you. No need to be afraid. c. There is a highway between the college that is NH-66. So you need to be very careful while crossing the road if you are going to west campus of the college. d. We have relative grading not absolute grading system means your pointer would be decided by the marks obtained by the topper of the class. e. Never forget to carry your umbrella in rainy season (in odd semester). There is no timing for raining. It will happen for short period of time but you may get drenched because the rain would be very unexpected but no water logging at all. I think I have almost mentioned everything that I find unique about NITK. Thanks to my friends who helped me in writing bullets points about NITK. HOPE IT HELPS. THANK YOU!! ",0.12029,Positive,3.24058,0.06451612903225806,1,4.24058,3.24058
11,11,National-Institute-of-Technology-Karnataka-Surathkal-3,What are the things which differ NIT Surathkal from other NITs?,4,3,4/3,No,Followed,2020-07-29,https://www.quora.com/What-are-the-things-which-differ-NIT-Surathkal-from-other-NITs,"Suppose you are asking this question to a NIT Surathkal Student what is difference between your college and mine (Let’s suppose you are an NITian too but not from same NIT Surathkal ) then what a NIT Surathkal Student would answer will fill you up with jealousy. And what he will say is that we have our own Beach. Yes, you read it right. NIT Surathkal has its own personal beach for its Student, well we always like to go to a place like this and you don’t get a chance while on the other hand there’s a college which has its own Beach. What can be more interesting than this. Well that’s one thing and t Continue ReadingSuppose you are asking this question to a NIT Surathkal Student what is difference between your college and mine (Let’s suppose you are an NITian too but not from same NIT Surathkal ) then what a NIT Surathkal Student would answer will fill you up with jealousy. And what he will say is that we have our own Beach. Yes, you read it right. NIT Surathkal has its own personal beach for its Student, well we always like to go to a place like this and you don’t get a chance while on the other hand there’s a college which has its own Beach. What can be more interesting than this. Well that’s one thing and there are few more things on the basis of Infrastructure and Education, fests and blah blah. But Beach is the most remarkable point. Because other NITs have something else which NIT Surathkal does not have. https://www.youtube.com/watch?v=PsF2nZh6m2U Well if want to know more I have attached a video link which will tell you more about NIT Surathkal. Thank You !! ",0.26745624999999995,Positive,3.5349125,0.06451612903225806,1,4.5349125,3.5349125
12,12,National-Institute-of-Technology-Karnataka-Surathkal-3,What are the things which differ NIT Surathkal from other NITs?,4,3,4/3,No,Followed,2020-07-29,https://www.quora.com/What-are-the-things-which-differ-NIT-Surathkal-from-other-NITs,Mainly nature.NITK has its own beach. it is very old campus started in 1960. heavy rains in rainy season. nearly 6 months rain and remaining sweat summer heat snakes and peacocks in campus. most of the students are from karnataka. big campus mostly cycle is required. ,-0.01544,Neutral,2.96912,0.06451612903225806,1,2.96912,2.96912
13,13,National-Institute-of-Technology-Karnataka-Surathkal-3,How is the placement scenario for remote sensing and GIS from NIT-K?,0,1,0/1,No,Requested,2020-07-29,https://www.quora.com/How-is-the-placement-scenario-for-remote-sensing-and-GIS-from-NIT-K,"Since I have been researching about the Indian engineering education system since last 10 years hence I can accurately answer this question. Most of the MTech/MS degree holders, even from IISc remain jobless. MTech is a scam running in India to run the GATE coaching industry: Praveen Kumar Singh's answer to Do IITs have good placement records for M.Tech students? Since all the Indian engineering colleges inflate and lie about their placement statistics, hence there is NO answer to this question.  Most remain jobless, at the end. ",-0.12978,Negative,2.74044,0.0,0,2.74044,2.74044
14,14,National-Institute-of-Technology-Karnataka-Surathkal-3,Is m tech in civil engineering from NIT Suratkal good? Which is best branch for civil engineering in NIT Suratkal? Please answer,3,1,3/1,No,Followed,2020-07-31,https://www.quora.com/Is-m-tech-in-civil-engineering-from-NIT-Suratkal-good-Which-is-best-branch-for-civil-engineering-in-NIT-Suratkal-Please-answer,"This correct answer is in Indian context: Since civil engineering is dead in 2020 hence it should not be taught in Indian engineering colleges in 2020. Nothing would happen to India and the world if no more civil engineering degree holders are produced from any Indian engineering colleges. Most of the Mtech degree holders in India remain jobless because Indian engineering curriculum is 40 years old. Such degree holders prepare for bank, railway and SSC exams. Helpful: Praveen Kumar Singh's answer to I am civil engineering student. How can I get 1 lac per month? ",-0.08718333333333332,Negative,2.825633333333333,0.04838709677419355,1,1.8256333333333332,2.825633333333333
15,15,National-Institute-of-Technology-Karnataka-Surathkal-3,"According to Kalpit Veerwal, if software engineers will lose jobs in the coming years, then why should I study hard to get CS in top NIT/IIT? I am really demotivated just before the exam. What should I do?",11,5,11/5,No,Followed,2020-07-30,https://www.quora.com/According-to-Kalpit-Veerwal-if-software-engineers-will-lose-jobs-in-the-coming-years-then-why-should-I-study-hard-to-get-CS-in-top-NIT-IIT-I-am-really-demotivated-just-before-the-exam-What-should-I-do,"I know which video you are talking about. Some things that you need to know : Kalpit Veerwal mentioned that software engineers jobs will decline in the coming years due to 2 reasons which were mentioned in the video. Coming years can be 5,10 or even 20 years. That much time is enough for you to work and earn a decent amount that will last your entire life.Life at the top IITs and NITs is way better than any other college. You don’t just learn computer science but also study many other things which you don’t even know about computer science. Moreover, there are so many clubs at IITs which help yoContinue ReadingI know which video you are talking about. Some things that you need to know : Kalpit Veerwal mentioned that software engineers jobs will decline in the coming years due to 2 reasons which were mentioned in the video. Coming years can be 5,10 or even 20 years. That much time is enough for you to work and earn a decent amount that will last your entire life.Life at the top IITs and NITs is way better than any other college. You don’t just learn computer science but also study many other things which you don’t even know about computer science. Moreover, there are so many clubs at IITs which help you acquire many skills in every field that you can think about.Coding is not the only thing taught and neither is it the only job in demand. If you’re an IITian and have worked hard on improving yourself during the course of 4/5 years then you do not need to rely on others for a job. You have that ability to become an entrepreneur and make jobs for others instead.Being demotivated by such a useful video can be the worse thing for a content creator. I’d suggest you to go through the video once again and watch it with an optimistic mind. You’ll surely find the actual use of that video and get motivated not just for your preparation but for life as well.Hope this helps :) ",0.2448066666666667,Positive,3.4896133333333332,0.1774193548387097,1,4.489613333333333,3.4896133333333332
16,16,National-Institute-of-Technology-Karnataka-Surathkal-3,"According to Kalpit Veerwal, if software engineers will lose jobs in the coming years, then why should I study hard to get CS in top NIT/IIT? I am really demotivated just before the exam. What should I do?",11,5,11/5,No,Followed,2020-07-30,https://www.quora.com/According-to-Kalpit-Veerwal-if-software-engineers-will-lose-jobs-in-the-coming-years-then-why-should-I-study-hard-to-get-CS-in-top-NIT-IIT-I-am-really-demotivated-just-before-the-exam-What-should-I-do,"Hey first of all whatever matter u have with the concerned individual may be put aside but if u see the question of yours it shows lack of knowledge with the matter. Now you don’t do computer science just to be software engineer, there is an altogether whole world out there in this ocean of cs, well it is true that a lot of code work which used to be handled by the company engineers is being outsourced and companies are trying their best to invent various AI tools for the system to self learn the code, In fact, you don’t even need to listen to him for this matter as if it is a brand new thing di Continue ReadingHey first of all whatever matter u have with the concerned individual may be put aside but if u see the question of yours it shows lack of knowledge with the matter. Now you don’t do computer science just to be software engineer, there is an altogether whole world out there in this ocean of cs, well it is true that a lot of code work which used to be handled by the company engineers is being outsourced and companies are trying their best to invent various AI tools for the system to self learn the code, In fact, you don’t even need to listen to him for this matter as if it is a brand new thing discovered, these matters are very much are in the talks and are starting to get momentum from the last couple of years. Therefore beautiful branch-like computer science should not be confined to any one aspect of it, it has that potential which is not even discovered yet, it is very much inevitable that someday or the other software engineering might be the new mechanical engineering of engineering but you better get the thirst to have which is not even seen by others. Hope it helps. ",0.43728,Positive,3.87456,0.1774193548387097,1,4.87456,3.87456
17,17,National-Institute-of-Technology-Karnataka-Surathkal-3,How much should I score in the JEE Mains 2021 to get into NITK? What are a few tips to score well in JEE Mains 2021?,1,1,1/1,No,Followed,2020-07-28,https://www.quora.com/How-much-should-I-score-in-the-JEE-Mains-2021-to-get-into-NITK-What-are-a-few-tips-to-score-well-in-JEE-Mains-2021,Well buddy NITK is one of best nits of India and it can give many chills to get into this college. You shouldn't be aiming for any specific marks You should have the mindset that you need to score 99.9 percentile in jee main because then only you will have the luxury to select from various colleges Now coming to the tips.. You should solve the previous year papers and revise them regular basis as the pattern repeat itself.Donot procrastinate that tomorrow you are relying on will never comeDonot underestimate ncert especially for chemistry although you can ignore maths but visit it if you want to clear basicsDont go with many books pick any one thats considered the best in its field and worship it.Thankyou and upvote if you like it,0.8465499999999999,Positive,4.693099999999999,0.016129032258064516,0,4.693099999999999,4.693099999999999
18,18,National-Institute-of-Technology-Karnataka-Surathkal-3,How much should I score in the JEE Mains 2021 to get into NIT Surathkal? Could you even mention a few tips of preparation for the Jee Mains? Is the CSE department good at NITK?,2,1,2/1,No,Followed,2020-08-01,https://www.quora.com/How-much-should-I-score-in-the-JEE-Mains-2021-to-get-into-NIT-Surathkal-Could-you-even-mention-a-few-tips-of-preparation-for-the-Jee-Mains-Is-the-CSE-department-good-at-NITK,"It would be better if instead of thinking about cut-offs of different colleges, you focus on your preparation. Still, I'm giving your answer so that you don't waste time. The 2019 Round1 cut-off for NIT Surathkal is given below :  HS : Home State  OS : Other State So if you just want admission into NIT Surathkal then you need - 27878 rank (120–150 marks) if you belong to the home state.OR 21543 rank (130–160 marks) if you are from any other state.Note : These are the 2019 cut-offs and the same might not be the case in 2021 but it almost remains the same. NIT Surathkal is a very good college and is one of the top NITs of the country. I don't have an insights about the college but looking at its performance, I can say that the CS branch will be good both academically and placement wise. NOTE : Next time don't ask any number of questions in just one post because that becomes very irritating 😡 to answer. I'm sure JEE Preparation tips will be available on Quora and any other website on the web.👍 ",0.3258285714285714,Positive,3.6516571428571427,0.03225806451612903,1,4.651657142857143,3.6516571428571427
19,19,National-Institute-of-Technology-Karnataka-Surathkal-3,Will new hostels in NITK (Surathkal) start functioning from this coming academic year?,6,2,6/2,No,Followed,2020-07-26,https://www.quora.com/Will-new-hostels-in-NITK-Surathkal-start-functioning-from-this-coming-academic-year,"First year ,first week - Everyone was complaining about hostels amenities. After first month , everyone be like chalta hai attitude in everything. Everything after first month… Bath - “Queen of England used to take bath every one month ,hum tho fir bhi 2–3 din mei kar lete” Breakfast - “ Amul’s samosa will be your breakfast” Studies - One week before every exam, “ye tho ho jayega”. Hostel Amenities - “ You will never be in your room, so farak hi nahi padta…hostel room kaise hai”. And coming to your question ……… yes most probably half of the hostel will start functioning….other half will end after you Continue ReadingFirst year ,first week - Everyone was complaining about hostels amenities. After first month , everyone be like chalta hai attitude in everything. Everything after first month… Bath - “Queen of England used to take bath every one month ,hum tho fir bhi 2–3 din mei kar lete” Breakfast - “ Amul’s samosa will be your breakfast” Studies - One week before every exam, “ye tho ho jayega”. Hostel Amenities - “ You will never be in your room, so farak hi nahi padta…hostel room kaise hai”. And coming to your question ……… yes most probably half of the hostel will start functioning….other half will end after you complete your college….kyuki mere time mei yehi huwa tha…. When I came to campus,they started construction…and now when I am leaving my college…..chal hi raha hai… ",0.11482999999999999,Positive,3.22966,0.0967741935483871,1,4.22966,3.22966
20,20,National-Institute-of-Technology-Karnataka-Surathkal-3,Will new hostels in NITK (Surathkal) start functioning from this coming academic year?,6,2,6/2,No,Followed,2020-07-26,https://www.quora.com/Will-new-hostels-in-NITK-Surathkal-start-functioning-from-this-coming-academic-year,"may be , some rooms are given to phd students ",0.0,Neutral,3.0,0.0967741935483871,1,3.0,3.0
21,21,National-Institute-of-Technology-Karnataka-Surathkal-3,Is there any kind of ragging of M.Tech students in top NITs Trichy/Warangal/Surathkal?,1,3,1/3,No,Requested,2020-07-24,https://www.quora.com/Is-there-any-kind-of-ragging-of-M-Tech-students-in-top-NITs-Trichy-Warangal-Surathkal,"In my opinion as for now there is no ragging in most of the NITs. I was in NIT jaipur there i didn’t find any kind of ragging there. Intro can happen at times but these are not ragging. Coming to these NITs i am not sure of any ragging. I had a friend in NIT warangal he never mentioned about any ragging in campus. There are student union in some NITs so may for these elections there can be some ragging but in general there is no ragging. But i should tell that i most of colleges there is group of students. Like in NIT Jaipur there is Jat group , South Indian Group , Bihar Group…etc. So in these g Continue ReadingIn my opinion as for now there is no ragging in most of the NITs. I was in NIT jaipur there i didn’t find any kind of ragging there. Intro can happen at times but these are not ragging. Coming to these NITs i am not sure of any ragging. I had a friend in NIT warangal he never mentioned about any ragging in campus. There are student union in some NITs so may for these elections there can be some ragging but in general there is no ragging. But i should tell that i most of colleges there is group of students. Like in NIT Jaipur there is Jat group , South Indian Group , Bihar Group…etc. So in these groups there can be little bit of ragging in first year of B.Tech but it is not necessary to join a group it is on your own. I hope i have answered your question. ",-0.005099999999999993,Neutral,2.9898,0.016129032258064516,0,2.9898,2.9898
22,22,National-Institute-of-Technology-Karnataka-Surathkal-3,Is there any kind of ragging of M.Tech students in top NITs Trichy/Warangal/Surathkal?,1,3,1/3,No,Requested,2020-07-24,https://www.quora.com/Is-there-any-kind-of-ragging-of-M-Tech-students-in-top-NITs-Trichy-Warangal-Surathkal," I never heard or saw m.techs getting ragged during my stay at NITW(2013–17). Most m.techs just mind their own business during their stay. Ragging was limited to b.techs only. Situation was far worse when I joined(2013). However, it improved and college became ragging free(almost) when our batch graduated(2017). Administration is proactive in curbing ragging in any program(b.tech or m.tech) ",0.032533333333333324,Neutral,3.0650666666666666,0.016129032258064516,0,3.0650666666666666,3.0650666666666666
23,23,National-Institute-of-Technology-Karnataka-Surathkal-3,Is there any kind of ragging of M.Tech students in top NITs Trichy/Warangal/Surathkal?,1,3,1/3,No,Requested,2020-07-24,https://www.quora.com/Is-there-any-kind-of-ragging-of-M-Tech-students-in-top-NITs-Trichy-Warangal-Surathkal,"No, I studied in NITW and knows people from other top NITs, IITs. There is no ragging for Mtech students. ",-0.04684999999999999,Neutral,2.9063,0.016129032258064516,0,2.9063,2.9063
24,24,National-Institute-of-Technology-Karnataka-Surathkal-3,"Which is better if I am interested in signal processing, SPML at NITK or NITT comm?",1,1,1/1,No,Followed,2020-07-23,https://www.quora.com/Which-is-better-if-I-am-interested-in-signal-processing-SPML-at-NITK-or-NITT-comm,"Hi, Nitk has better if u are intrested in spml, because trichy dong have sp as separate cource. Regards, Murali ",0.2202,Positive,3.4404,0.016129032258064516,0,3.4404,3.4404
25,25,National-Institute-of-Technology-Karnataka-Surathkal-3,"With 76% in the Karnataka board 2020, am I eligible for admission in NIT?",1,3,1/3,No,Followed,2020-07-23,https://www.quora.com/With-76-in-the-Karnataka-board-2020-am-I-eligible-for-admission-in-NIT,Yes offcourse you are eligible for not but you have to watch that your PCM is making 75% if it is not happening then sorry you are not eligible  ,0.2921,Positive,3.5842,0.016129032258064516,0,3.5842,3.5842
26,26,National-Institute-of-Technology-Karnataka-Surathkal-3,"With 76% in the Karnataka board 2020, am I eligible for admission in NIT?",1,3,1/3,No,Followed,2020-07-23,https://www.quora.com/With-76-in-the-Karnataka-board-2020-am-I-eligible-for-admission-in-NIT,Yes. Just work hard for mains. All the best ,0.31203333333333333,Positive,3.6240666666666668,0.016129032258064516,0,3.6240666666666668,3.6240666666666668
27,27,National-Institute-of-Technology-Karnataka-Surathkal-3,"With 76% in the Karnataka board 2020, am I eligible for admission in NIT?",1,3,1/3,No,Followed,2020-07-23,https://www.quora.com/With-76-in-the-Karnataka-board-2020-am-I-eligible-for-admission-in-NIT,"Yes, you are eligible but however you have score good percentile in jee mains for your admission in NITs. ",0.6908,Positive,4.3816,0.016129032258064516,0,4.3816,4.3816
28,28,National-Institute-of-Technology-Karnataka-Surathkal-3,"If I am going to start from now, which books and topics are to be covered for NITK Surathkal? I really want to crack this NIMCET.",4,1,4/1,Yes,Followed,2020-07-23,https://www.quora.com/If-I-am-going-to-start-from-now-which-books-and-topics-are-to-be-covered-for-NITK-Surathkal-I-really-want-to-crack-this-NIMCET,"If you wanna clear nimcet 2020 then you need to do work hard,Because no more time is left . For Maths: Solve rd sharma Objective book with previous year question and daily attend mock test to judge yourself. For LR : Solve R.s agarwal. For english basic level is enough. And for computer fundamental three year knowladge is enough.if you're belong to BCA student. ",0.011000000000000005,Neutral,3.022,0.06451612903225806,1,3.022,3.022
29,29,National-Institute-of-Technology-Karnataka-Surathkal-3,"Is it worth doing an M.Tech in one of the top 3 NITs (NITW, NITT, NITK) or should I prepare for the GATE again next year?",4,1,4/1,Yes,Followed,2015-05-26,https://www.quora.com/Is-it-worth-doing-an-M-Tech-in-one-of-the-top-3-NITs-NITW-NITT-NITK-or-should-I-prepare-for-the-GATE-again-next-year,"If you think you can do better then do take another try, in case you fail to do so you can rely upon the 2015 score card else you can proceed towards joining IIT, in both the cases you are in a win-win situation.P.S.- NITs are not that bad if you have the potential to work upon yourself.All the best. ",0.7543,Positive,4.5085999999999995,0.06451612903225806,1,5.0,4.5085999999999995
30,30,National-Institute-of-Technology-Karnataka-Surathkal-3,Is there ragging of M.Tech students at NIT Surathkal?,1,1,1/1,No,Requested,2020-07-21,https://www.quora.com/Is-there-ragging-of-M-Tech-students-at-NIT-Surathkal,"Que sera sera, Whatever will be will be. Take a chill pill bro. And first of all its Personality development, not ragging. At a masters-level course, it should not even matter for anyone. BTech must have taught you how to handle it. And if you find any ragging going on in your college, you can contact the anti-ragging cell anytime. ",-0.003183333333333333,Neutral,2.9936333333333334,0.016129032258064516,0,2.9936333333333334,2.9936333333333334
31,31,National-Institute-of-Technology-Karnataka-Surathkal-3,I have scored 81 percentile in the JEE Main and I am a PWD and OBC candidate. Can I get NIT Surathkal via home state?,3,3,3/3,No,Followed,2020-07-24,https://www.quora.com/I-have-scored-81-percentile-in-the-JEE-Main-and-I-am-a-PWD-and-OBC-candidate-Can-I-get-NIT-Surathkal-via-home-state,Yes obviously you will get a seat in Nit surathkal with that pwd and obc category and with home state quota ,0.4019,Positive,3.8038,0.04838709677419355,1,4.8038,3.8038
32,32,National-Institute-of-Technology-Karnataka-Surathkal-3,I have scored 81 percentile in the JEE Main and I am a PWD and OBC candidate. Can I get NIT Surathkal via home state?,3,3,3/3,No,Followed,2020-07-24,https://www.quora.com/I-have-scored-81-percentile-in-the-JEE-Main-and-I-am-a-PWD-and-OBC-candidate-Can-I-get-NIT-Surathkal-via-home-state,Yes. You have heigh chance to get nit surathkal. ,0.32594999999999996,Positive,3.6519,0.04838709677419355,1,4.6518999999999995,3.6519
33,33,National-Institute-of-Technology-Karnataka-Surathkal-3,"Which is better, Mtech in biotechnology in NIT Surathkal or NIT Rourkela?",1,1,1/1,No,Followed,2020-07-20,https://www.quora.com/Which-is-better-Mtech-in-biotechnology-in-NIT-Surathkal-or-NIT-Rourkela,Since there is NO demand of such degree holders in the industry hence there is NO answer to this question. There are NO core private BioTech companies in India. Period. ,-0.3188666666666667,Negative,2.3622666666666667,0.016129032258064516,0,2.3622666666666667,2.3622666666666667
